"id","title","locationSource","magSource","url","detail","wkb_geometry"
iscgem818277,"M 6.3 - 13 km ENE of Yacuiba, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem818277,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem818277&format=geojson,POINT Z(-63.554 -21.989 533.6)
iscgem807188,"M 5.4 - 43 km NNW of Abapó, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem807188,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem807188&format=geojson,POINT Z(-63.472 -18.499 19)
iscgem794840,"M 5.2 - 29 km SSE of Jorochito, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem794840,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem794840&format=geojson,POINT Z(-63.319 -18.297 15)
iscgem789390,"M 5.6 - 168 km ESE of Iquique, Chile",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem789390,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem789390&format=geojson,POINT Z(-68.577 -20.57 110.3)
iscgem788434,"M 5.6 - 75 km SE of Mazo Cruz, Peru",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem788434,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem788434&format=geojson,POINT Z(-69.226 -17.229 173.2)
iscgem781247,"M 5.9 - 136 km SW of Atocha, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem781247,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem781247&format=geojson,POINT Z(-67.227 -21.735 185)
iscgem773411,"M 5.2 - 21 km NNE of Tiquipaya, Bolivia",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem773411,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem773411&format=geojson,POINT Z(-66.142 -17.153 15)
iscgem768245,"M 5.7 - 151 km E of Iquique, Chile",iscgem,iscgem,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem768245,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem768245&format=geojson,POINT Z(-68.708 -20.095 122.6)
usp00000eq,"M 3.9 - 71 km WSW of Tupiza, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00000eq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00000eq&format=geojson,POINT Z(-66.385 -21.625 227)
usp00000qk,"M 4.1 - 54 km NNE of Mapiri, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00000qk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00000qk&format=geojson,POINT Z(-67.917 -14.826 120)
usp000013h,"M 4.2 - 65 km SE of Mazo Cruz, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000013h,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000013h&format=geojson,POINT Z(-69.353 -17.221 180)
usp000018v,"M 4.1 - 95 km ENE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000018v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000018v&format=geojson,POINT Z(-67.367 -22.53 163)
usp000019u,"M 5.1 - 60 km SSW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000019u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000019u&format=geojson,POINT Z(-66.536 -21.399 198)
usp00001s0,"M 3.7 - 81 km E of Palca, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00001s0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00001s0&format=geojson,POINT Z(-69.2 -17.867 154)
usp00001wu,"M 4.5 - 93 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00001wu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00001wu&format=geojson,POINT Z(-67.611 -22.266 112)
usp00001yd,"M 3.7 - 63 km ENE of Estique, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00001yd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00001yd&format=geojson,POINT Z(-69.436 -17.414 178)
usp00002rg,"M 4.4 - 148 km SW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00002rg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00002rg&format=geojson,POINT Z(-67.12 -21.981 182)
usp00002wc,"M 4.6 - 153 km SW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00002wc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00002wc&format=geojson,POINT Z(-67.874 -21.431 159)
usp00002yg,"M 4.8 - 141 km NE of Calama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00002yg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00002yg&format=geojson,POINT Z(-68.037 -21.48 89)
usp00002z0,"M 4.7 - 111 km ENE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00002z0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00002z0&format=geojson,POINT Z(-67.25 -22.419 184)
usp00003hm,"M 4.1 - 40 km WSW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003hm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003hm&format=geojson,POINT Z(-66.57 -21.107 234)
usp00003k6,"M 5.0 - 15 km SW of Jorochito, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003k6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003k6&format=geojson,POINT Z(-63.525 -18.158 57)
usp00003na,"M 4.2 - 161 km NNE of Calama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003na,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003na&format=geojson,POINT Z(-68.198 -21.169 110)
usp00003nh,"M 5.1 - 133 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003nh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003nh&format=geojson,POINT Z(-67.998 -20.968 107)
usp00003p4,"M 4.7 - 117 km SW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003p4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003p4&format=geojson,POINT Z(-67.614 -21.221 173)
usp00003xk,"M 6.1 - 4 km NNE of Yacuiba, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003xk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003xk&format=geojson,POINT Z(-63.656 -21.985 529)
usp00003xn,"M 5.3 - 27 km NNE of Yacuiba, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003xn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003xn&format=geojson,POINT Z(-63.565 -21.793 548)
usp00003z0,"M 4.9 - 150 km SSW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00003z0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00003z0&format=geojson,POINT Z(-67.451 -21.69 210)
usp000040k,"M 3.7 - 118 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000040k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000040k&format=geojson,POINT Z(-67.276 -22.279 165)
usp00004rt,"M 4.4 - 107 km SW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00004rt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00004rt&format=geojson,POINT Z(-67.052 -21.512 116)
usp00004uu,"M 4.9 - 104 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00004uu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00004uu&format=geojson,POINT Z(-67.378 -22.361 175)
usp00005h1,"M 4.5 - 17 km WNW of Curahuara de Carangas, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00005h1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00005h1&format=geojson,POINT Z(-68.596 -17.834 190)
usp00005hk,"M 3.7 - 14 km SSE of Batallas, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00005hk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00005hk&format=geojson,POINT Z(-68.484 -16.421 192)
usp00005jb,"M 4.3 - 142 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00005jb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00005jb&format=geojson,POINT Z(-67.257 -21.968 173)
usp00005qq,"M 4.5 - 113 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00005qq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00005qq&format=geojson,POINT Z(-67.847 -20.854 170)
usp00006mg,"M 4.4 - 26 km NNW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00006mg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00006mg&format=geojson,POINT Z(-67.056 -20.088 237)
usp00006rn,"M 4.2 - 155 km E of Iquique, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00006rn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00006rn&format=geojson,POINT Z(-68.667 -20.146 129)
usp00006y9,"M 4.4 - 132 km SW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00006y9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00006y9&format=geojson,POINT Z(-67.876 -21.128 200)
usp00006yb,"M 4.1 - 21 km NNW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00006yb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00006yb&format=geojson,POINT Z(-66.324 -20.771 170)
usp00006z6,"M 5.9 - 66 km S of Tarija, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00006z6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00006z6&format=geojson,POINT Z(-64.735 -22.135 13)
usp00007vv,"M 3.6 - 153 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00007vv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00007vv&format=geojson,POINT Z(-68.4 -20.295 141)
usp0000828,"M 4.5 - 98 km ENE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000828,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000828&format=geojson,POINT Z(-67.32 -22.555 176)
usp000082z,"M 3.9 - 135 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000082z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000082z&format=geojson,POINT Z(-68.064 -20.906 172)
usp000088f,"M 4.3 - 66 km S of Desaguadero, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000088f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000088f&format=geojson,POINT Z(-69.134 -17.16 181)
usp000088k,"M 4.1 - 85 km SW of Curahuara de Carangas, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp000088k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000088k&format=geojson,POINT Z(-68.971 -18.446 164)
usp00008ff,"M 4.3 - 118 km SW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00008ff,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00008ff&format=geojson,POINT Z(-67.01 -21.706 223)
usp00008pj,"M 3.6 - 143 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00008pj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00008pj&format=geojson,POINT Z(-68.185 -20.837 170)
usp00008ww,"M 5.1 - 170 km WNW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00008ww,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00008ww&format=geojson,POINT Z(-68.512 -19.932 174)
usp00009dr,"M 4.7 - 153 km WSW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00009dr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00009dr&format=geojson,POINT Z(-68.051 -21.231 156)
usp00009rt,"M 4.2 - 132 km NE of Calama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00009rt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00009rt&format=geojson,POINT Z(-68.069 -21.559 194)
usp00009wc,"M 5.3 - 47 km SE of Boyuibe, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp00009wc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00009wc&format=geojson,POINT Z(-62.943 -20.72 562)
usp0000ag7,"M 4.4 - 31 km NW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000ag7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000ag7&format=geojson,POINT Z(-67.165 -20.124 294)
usp0000ay8,"M 4.1 - 163 km WNW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000ay8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000ay8&format=geojson,POINT Z(-68.425 -19.852 154)
usp0000b9j,"M 4.1 - 140 km SW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000b9j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000b9j&format=geojson,POINT Z(-67.751 -21.388 131)
usp0000bqr,"M 4.3 - 126 km SW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000bqr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000bqr&format=geojson,POINT Z(-67.174 -21.649 217)
usp0000bz6,"M 5.5 - 61 km SE of Mazo Cruz, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000bz6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000bz6&format=geojson,POINT Z(-69.354 -17.174 156)
usp0000c1n,"M 4.3 - 127 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000c1n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000c1n&format=geojson,POINT Z(-67.326 -22.092 186)
usp0000cf1,"M 4.7 - 137 km NE of Calama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000cf1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000cf1&format=geojson,POINT Z(-68.172 -21.431 176)
usp0000cfx,"M 4.9 - 157 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000cfx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000cfx&format=geojson,POINT Z(-68.312 -20.875 87)
usp0000chx,"M 5.1 - 137 km SSW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000chx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000chx&format=geojson,POINT Z(-66.938 -21.979 186)
usp0000cms,"M 4.2 - 175 km WNW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000cms,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000cms&format=geojson,POINT Z(-68.375 -19.488 124)
usp0000d31,"M 3.7 - 69 km ENE of Palca, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000d31,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000d31&format=geojson,POINT Z(-69.328 -17.615 155)
usp0000d6m,"M 4.8 - 174 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000d6m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000d6m&format=geojson,POINT Z(-68.487 -20.888 83)
usp0000dcm,"M 4.2 - 69 km SSW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000dcm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000dcm&format=geojson,POINT Z(-66.543 -21.481 191)
usp0000dpj,"M 4.4 - 129 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000dpj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000dpj&format=geojson,POINT Z(-68.174 -20.35 33)
usp0000f5f,"M 3.7 - 107 km SW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000f5f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000f5f&format=geojson,POINT Z(-66.88 -21.684 233)
usp0000f5u,"M 5.3 - 16 km S of Aiquile, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000f5u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000f5u&format=geojson,POINT Z(-65.197 -18.354 41)
usp0000ghq,"M 3.9 - 31 km WNW of Curahuara de Carangas, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000ghq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000ghq&format=geojson,POINT Z(-68.715 -17.774 196)
usp0000h69,"M 4.8 - 115 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000h69,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000h69&format=geojson,POINT Z(-67.447 -22.137 151)
usp0000hgt,"M 4.1 - 32 km SSE of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000hgt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000hgt&format=geojson,POINT Z(-66.652 -20.709 247)
usp0000j40,"M 4.9 - 47 km W of Challapata, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000j40,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000j40&format=geojson,POINT Z(-67.22 -18.927 253)
usp0000j8u,"M 5.5 - 44 km S of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000j8u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000j8u&format=geojson,POINT Z(-66.301 -21.327 188)
usp0000jfp,"M 4.6 - 147 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000jfp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000jfp&format=geojson,POINT Z(-68.347 -20.354 134)
usp0000jnt,"M 5.0 - 81 km SE of Mazo Cruz, Peru",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000jnt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000jnt&format=geojson,POINT Z(-69.201 -17.288 132)
usp0000kfw,"M 5.1 - 116 km WSW of Atocha, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kfw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kfw&format=geojson,POINT Z(-67.166 -21.504 266)
usp0000kje,"M 5.2 - 163 km E of Iquique, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kje,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kje&format=geojson,POINT Z(-68.607 -20.443 92)
usp0000kjj,"M 5.1 - 157 km E of Iquique, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kjj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kjj&format=geojson,POINT Z(-68.66 -20.414 81)
usp0000kmc,"M 5.2 - 164 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kmc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kmc&format=geojson,POINT Z(-68.501 -20.471 78)
usp0000kmh,"M 5.6 - 167 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kmh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kmh&format=geojson,POINT Z(-68.531 -20.381 72)
usp0000kpc,"M 4.9 - 156 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kpc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kpc&format=geojson,POINT Z(-68.415 -20.515 73)
usp0000kt9,"M 5.6 - 172 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000kt9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000kt9&format=geojson,POINT Z(-68.456 -20.912 57)
usp0000m5w,"M 4.9 - 102 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000m5w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000m5w&format=geojson,POINT Z(-67.892 -20.487 152)
usp0000mqx,"M 4.9 - 168 km E of Iquique, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000mqx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000mqx&format=geojson,POINT Z(-68.568 -20.505 154)
usp0000mrz,"M 4.7 - 156 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000mrz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000mrz&format=geojson,POINT Z(-68.422 -20.18 173)
usp0000n4x,"M 4.8 - 50 km ENE of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000n4x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000n4x&format=geojson,POINT Z(-66.364 -20.335 207)
usp0000n5w,"M 4.5 - 51 km W of Poopó, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000n5w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000n5w&format=geojson,POINT Z(-67.457 -18.416 287)
usp0000nch,"M 4.3 - 144 km SW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000nch,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000nch&format=geojson,POINT Z(-67.901 -21.281 181)
usp0000nzp,"M 4.6 - 153 km NE of Calama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000nzp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000nzp&format=geojson,POINT Z(-67.859 -21.495 33)
usp0000p74,"M 5.4 - 135 km NE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000p74,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000p74&format=geojson,POINT Z(-67.256 -22.062 144)
usp0000pc1,"M 5.4 - 171 km WSW of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000pc1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000pc1&format=geojson,POINT Z(-68.451 -20.892 131)
usp0000pd4,"M 4.6 - 158 km W of Colchani, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000pd4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000pd4&format=geojson,POINT Z(-68.439 -20.124 114)
usp0000pgw,"M 4.8 - 135 km NE of Calama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000pgw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000pgw&format=geojson,POINT Z(-68.138 -21.476 101)
usp0000q2m,"M 4.7 - 54 km ENE of San Pedro de Atacama, Chile",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000q2m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000q2m&format=geojson,POINT Z(-67.695 -22.776 130)
usp0000re2,"M 4.8 - 81 km SSW of Uyuni, Bolivia",us,us,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000re2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000re2&format=geojson,POINT Z(-67.173 -21.116 152)
